Food Name,Standard Quantity,Type,Calories (kcal),Protein (g),Fat (g),Carbohydrates (g),Fiber (g),Sugars (g),Glycemic Index,Suitable for Diabetes,Suitable for Blood Pressure,Calcium (mg),Cholesterol (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Monounsaturated Fats (g),Nutrition Density,Phosphorus (mg),Polyunsaturated Fats (g),Potassium (mg),Saturated Fats (g),Selenium (mcg),Sodium (mg),Vitamin A (mcg),Vitamin B1 (mg),Vitamin B11 (mcg),Vitamin B12 (mcg),Vitamin B2 (mg),Vitamin B3 (mg),Vitamin B5 (mg),Vitamin B6 (mg),Vitamin C (mg),Vitamin D (mcg),Vitamin E (mg),Vitamin K (mcg),Water (g),Zinc (mg)
chicken wing roasted,100g,Protein,216,20.827,14.744,0,0,0,0,1,1,0.024,119.9,15.3,0.092,0.7,16.2,6.6,35.155,0.095,3.1,125,4.2,180.2,0.039,0.073,0.017,0.005,0.069,0.08,0.1,5.4,0.8,0.5,0,0.094,0.6,50.5,0.032
chickpea flour,100g,Carbohydrates,356,20.893,6.288,53.958,9.9,10,30,1,1,41.4,0,0.8,4.5,152.7,1.5,1.4,135.8,292.6,2.7,778.3,0.6,0.079,0.05,0,0.4,0.4,0,0.037,1.6,0.6,0.5,0,0,0.8,0.003,9.5,2.6
chickpeas,100g,Carbohydrates,164,8.74,2.553,26.515,7.6,4.46,28,1,1,49,0,0.327,2.7,48,7.348,3.266,27.1,156,3.754,291,1.14,3.4,24,1,0.102,0.079,0,0.056,0.464,0.507,0.123,1.1,3.945,1.09,11.4,55.96,1.42
chickpeas (dried),100g,Carbohydrates,478,32.777,19.12,43.703,5,4.46,13,1,1,33,0,0.327,2.7,168,7.348,3.266,9.37,156,3.754,707,1.14,3.4,290,1,0.102,0.079,0,0.056,0.464,0.507,0.123,1.1,3.945,1.09,11.4,4.4,1.42
chickpeas canned,100g,Carbohydrates,352,17.299,6.803,55.395,0,0,30,1,1,113.9,0,0.6,2.7,65.8,2.1,1.2,198.7,215.1,2.4,318.8,0.5,0,0.6,0,0.006,0.1,0,0,0.4,0,0,0.3,0,0,0,0.169,1.6
chickpeas cooked,100g,Carbohydrates,269,0,0,67.25,12.5,7.9,30,1,1,80.4,0,0.6,4.7,78.7,1.7,1,163.4,275.5,1.9,477.2,0.4,0.031,0.08,0,0.2,0.3,0,0.1,0.9,0.5,0.2,2.1,0,0.6,0.024,0.099,2.5
chickpeas raw,100g,Protein,728,75.953,23.809,0.238,34.8,21.4,30,1,1,210,0,1.7,12.5,230,4.4,2.7,437.3,732,5.4,1750,1.3,0.095,0.005,0,1,1.1,0,0.4,3.1,3.2,1.1,8,0,1.6,0.004,0,6.9
chicory,100g,Carbohydrates,80,0,0,20,13,0,18,1,1,49,0,0.011,0.07,34,7.348,0,52.63,5,0.002,116,0.002,0.3,49,0,0,0.079,0,0.025,0.524,0.507,0,0,3.945,0,0,0.098,0.01
chicory (various european countries),100g,Carbohydrates,60,1.062,0.531,12.743,13,6.993,39,1,1,36,4.178,10.219,1.479,10,7.348,1.557,87.44,81.581,1.174,517,1.031,56.024,65,12.536,0.136,0.079,0.053,0.096,1.296,0.507,0.191,11.557,3.945,0.505,6.621,75.53,0.727
chicory greens,100g,Carbohydrates,7,0.414,0.079,1.158,1.2,0.2,40,1,1,0.079,0,29,0.081,0.3,8.7,0.06,3.279,0.1,0.018,13.6,0.078,121.8,0.017,0,0,0.033,0.021,0,0.008,0.1,0.3,0.062,7,0,0.7,26.7,0.015
chicory roots,100g,Carbohydrates,65,1.204,0.185,14.63,1.4,7.9,40,1,1,0,0,36.9,0.051,0.7,19.8,0.054,18.997,0.2,0.041,54.9,0.052,261,0.055,0,0,0.08,0.007,0,0.029,0.4,0.3,0.2,4.5,0,0,72,0.076
chihuahua cheese,100g,Protein,494,90,10,0,0,7.3,30,1,1,859.3,138.6,0.03,0.6,30.4,0.047,11.1,934.983,583.4,1.2,68.6,24.9,0.071,0.8,0.007,0.053,0.031,0.082,0.3,0.2,0.4,0.061,0,0.089,0.3,0.011,0,4.6
chili beef soup,100g,Carbohydrates,308,13.215,6.608,48.917,6.6,13.4,30,1,1,0.072,26.3,86.8,0.8,4.3,50,2.7,77.607,2.1,0.2,297.2,3.3,1052,2.1,0.2,0,0.1,0.004,0.067,0.2,2.1,0.6,0.3,8.2,0,2.8,0.186,0.001
chili con carne,100g,Carbohydrates,271,14.733,8.82,33.173,8.3,4.7,35,1,1,0.063,22.8,83.5,0.6,3.4,70.8,3.6,66.245,0.4,1,220.1,3.2,667.9,1.1,0.4,0.095,0.049,0.005,0.091,0.029,2,3.6,0.3,0.5,0,1.3,0.192,0.039
chili pepper sauce green,100g,Carbohydrates,3,0.077,0.025,0.617,0.3,0.4,0,1,1,0.8,0,0.062,0.023,1.8,0,0.037,12.206,2.1,0.016,84.6,0.048,0.023,0.03,0,0.002,0.07,0,0.046,0.1,0,0.07,10.2,0,0.006,0.036,14.1,0.09
chili pepper sauce red,100g,Carbohydrates,3,0.083,0.074,0.5,0.1,0.4,0,1,1,1.4,0,0,0.051,1.8,0,0.096,6.755,2.4,0.071,84.6,0.073,0.06,0.003,0,0.042,0.093,0,0.042,0.041,0,0.02,4.5,0,0.005,0.018,14.1,0.037
chili peppers canned,100g,Carbohydrates,29,0.873,0.349,5.59,2.4,0,40,1,1,50,0,0,1.8,5.6,0,0.053,109.5,15.3,0.2,157.1,0.013,0.043,0.6,0,0.054,0.039,0,0.07,0.9,0.1,0.2,47.5,0,0,0,0.13,0.1
chili powder,100g,Fat,500,5.376,48.387,10.753,2,0.2,16,1,1,237,0,8.9,0.032,267,4,0.029,3.182,0.036,0.2,446,0.061,52.7,94,0,0,0.066,0.062,0,0.097,0.3,0.013,0.031,0.008,0,1,0.3,0.018
chili with beans canned,100g,Carbohydrates,287,13.636,13.169,28.485,11.3,3,30,1,1,120.3,43.5,0.3,8.8,115.2,0.3,6,204,394.2,0.9,934.4,6,0.018,1.3,0,0.1,0.018,0,0.3,0.9,3.6,0.3,4.4,0,1.3,0.074,0.193,5.1
chili without beans canned,100g,Protein,283,18.049,16.952,14.559,0,0,30,1,1,72,50.4,0.5,4.8,48,0.7,5.9,130.8,184.8,1.1,444,5.4,0.043,0.9,0,0.044,0,0.039,0.3,3,0.4,0.3,4.3,0,0,0,0.186,2.7
chimichanga with beef,100g,Protein,425,85.001,9.444,0,0,0,30,1,1,62.6,8.7,0.4,4.5,62.6,0.6,8.1,153.9,123.5,1.1,586.4,8.5,0.029,0.9,0,0.5,0.068,0.042,0.6,5.8,2.1,0.3,4.7,0,0,0,0.088,5
chimichanga with beef cheese,100g,Protein,443,88.601,9.844,0,0,0,30,1,1,237.9,51.2,0.4,3.8,60.4,0.5,9.4,327.3,186.7,0.7,203.1,11.2,0.085,1,0.1,0.4,0.052,0.012,0.9,4.7,1.8,0.2,2.7,0,0,0,0.096,3.4
chinese broccoli,100g,Carbohydrates,153,8.743,7.286,13.114,13,0.07,33,1,1,59,0,0.123,2.32,55,7.348,0.117,35.38,62,0.1,277,0.102,8.6,91,0,0.262,0.079,0,0.025,2.379,0.507,0.088,0,3.945,0.06,0.1,49.8,0.62
chinese cabbage,100g,Carbohydrates,166,7.155,0,34.345,8,0.07,54,1,1,22,0,0.123,2.32,30,7.348,0.117,22.99,62,0.1,557,0.102,8.6,187,0,0.262,0.079,0,0.025,2.379,0.507,0.088,0,3.945,0.06,0.1,49.8,0.62
chinese cabbage pak choi cooked,100g,Carbohydrates,20,2.118,0.235,2.353,1.7,1.4,30,1,1,158.1,0,0.088,1.8,18.7,0.2,0.046,211.8,49.3,0.1,630.7,0.014,0.055,0.5,0,0.068,0.012,0,0.1,0.7,0.1,0.3,44.2,0,0.2,0.049,0.162,0.3
chinese cabbage pak choi raw,100g,Carbohydrates,9,0.876,0.08,1.195,0.7,0.8,30,1,1,73.5,0,0.021,0.6,13.3,0.1,0.03,109,25.9,0.034,176.4,0.013,0.083,0.087,0,0.035,0.088,0,0.059,0.4,0.077,0.1,31.5,0,0.068,0.079,66.7,0.1
chinese cabbage pe tsai cooked,100g,Carbohydrates,17,1.485,0.165,2.393,2,0,30,1,1,38.1,0,0.022,0.4,11.9,0.2,0.059,64.2,46.4,0.086,267.8,0.011,0.075,0.3,0,0.021,0.044,0,0.008,0.6,0.042,0.2,18.8,0,0,0,0.113,0.2
chinese cabbage pe tsai raw,100g,Carbohydrates,12,0.701,0.156,1.948,0.9,1.1,30,1,1,58.5,0,0.074,0.2,9.9,0.1,0.087,83.7,22,0.004,180.9,0.033,0.03,0.049,0,0.068,0.05,0,0.028,0.3,0.055,0.2,20.5,0,0.003,0.088,71.7,0.2
chinese chestnuts roasted,100g,Carbohydrates,68,1.317,0.304,14.999,0,0,30,1,1,5.4,0,0.1,0.4,25.5,0.5,0.2,33.1,28.9,0.073,135,0.027,0,0.052,0,0.036,0.1,0,0.037,0.4,0.2,0.1,10.9,0,0,0,11.4,0.3
chinese egg roll,100g,Carbohydrates,223,7.427,10.638,24.387,2.3,0,30,1,1,35.6,14.2,0.1,1.3,16,0.2,2.7,81.5,75.7,5,146.9,1.9,0,0.4,0,0.1,0,0.079,0.001,2.4,0.3,0.1,0,0,0,0.066,45,0.6
chinese noodles,100g,Carbohydrates,456,0,0,100,0.7,0,55,1,1,0,0,32.5,0.1,2.8,3.9,0.085,112.906,0.1,0.072,41.6,0.088,13,0.088,0,0,0.2,0.032,0,0,0.3,0.1,0.031,0,0,0.2,0,0.044
"chinese yam/nagaimo (china, japan)",100g,Carbohydrates,43,1.849,2.312,3.699,5,6.993,17,1,1,121,4.178,10.219,1.479,45,7.348,1.557,74.04,81.581,1.174,222,1.031,56.024,105,12.536,0.136,0.079,0.053,0.096,1.296,0.507,0.191,11.557,3.945,0.505,6.621,75.53,0.727
chinook salmon cooked,100g,Protein,711,90,10,0,0,0,0,1,1,86.2,261.8,0.2,2.8,375.8,0.074,17.7,222.5,1142.7,8.2,1555.4,9.9,0.1,0.2,0.5,0.1,0.1,0.065,0.5,30.9,2.7,1.4,12.6,0,0,0,0,1.7
chinook salmon raw,100g,Protein,709,90,10,0,0,0,0,1,1,103,198,0.2,1,376.2,0.034,17.4,240.5,1144.4,11.1,1560.2,12.3,0.1,0.2,0.5,0.2,0.1,0.077,0.4,33.3,3,1.6,15.8,0,4.8,0,0,1.7
chinook salmon smoked,100g,Protein,159,31.801,3.533,0,0,0,0,1,1,15,31.3,0.3,1.2,24.5,0.055,2.8,47.038,223,1.4,238,1.3,0.027,1.1,0.019,0.01,0.019,0.007,0.1,6.4,1.2,0.4,0,0.09,1.8,0.039,0.098,0.4
chips chipotle,100g,Fat,151,0.413,14.666,4.338,0,2.1,40,1,1,0,0,0,0,0,0,19.3,9.4,0,1.1,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chives,100g,Carbohydrates,52,0,0,13,9,1.85,24,1,1,100,0,0.157,1.6,78,7.348,0.095,132.58,58,0.267,218,0.146,0.9,14,218,0.078,0.079,0,0.115,0.647,0.507,0.138,58.1,3.945,0.21,212.7,0.091,0.56
chives dried,100g,Carbohydrates,1,0.014,0.058,0.106,0.041,0,0,1,1,0,0,1.6,0.047,0.003,1.3,0.093,0.32,0.095,0.023,1,0.051,5.9,0.04,0,0,0.009,0.036,0,0.009,0.068,0.062,0.054,1.3,0,0,0.091,0.077
chives raw,100g,Carbohydrates,1,0.023,0.067,0.076,0.044,0.02,0,1,1,0.08,0,2.8,0.059,0.004,1.3,0.09,0.417,0.063,0.002,1.7,0.083,8.9,0.099,0,0,0.007,0.054,0,0.052,0.08,0.072,0.097,1.7,0,0.079,2.7,0.048
chlorella,100g,Carbohydrates,134,0,0,33.5,2,6.993,18,1,1,146,4.178,10.219,1.479,40,7.348,1.557,24.99,81.581,1.174,301,1.031,56.024,304,12.536,0.136,0.079,0.053,0.096,1.296,0.507,0.191,11.557,3.945,0.505,6.621,0.076,0.727
chocolate,100g,Carbohydrates,208,1.437,12.573,22.273,2.3,21.1,65,1,1,9.8,0,0.2,1.1,46.3,0.2,4.6,53.6,60.3,0.4,118.9,8.2,0.018,0.001,0,0.094,0.069,0,0.026,0.3,0.019,0.091,0,0,0.1,0.074,0.2,0.6
chocolate cake,100g,Carbohydrates,352,5.007,14.32,50.772,1.5,0,60,1,1,57,55.1,0.2,1.5,30.4,0.3,5.7,130.2,100.7,2.6,133,5.2,0.019,0.3,0,0.1,0.012,0.027,0.2,1.1,0.3,0.038,0.2,0,0,0,23.2,0.7
chocolate cake with chocolate frosting,100g,Carbohydrates,537,0,0,100,3,55.1,65,0,1,41.4,30.4,0.3,4.2,42.8,0.5,10.1,154.164,189.1,6.4,372.6,8.2,0.084,0.5,0.095,0,0.098,0,0.061,1.1,0.3,0,0.1,0,6,0.02,0,0.8
chocolate chip cookie,100g,Carbohydrates,63,0.489,2.739,9.098,0.3,5.3,40,1,1,0.036,0,2.4,0.049,0.6,4.1,1,13.122,0.026,0.3,8.7,1.4,18.5,0.047,0.013,0,0.093,0.095,0,0.068,0.3,0.068,0.052,0,0,0.2,1.4,0.034
chocolate chip cookies mcdonalds,100g,Carbohydrates,136,1.568,6.271,18.323,0.6,9.6,40,1,1,9.6,18.4,0.012,1.1,11.3,0.2,1.7,38.09,29.7,0.4,54.9,3.2,0,0.058,0.003,0.063,0.046,0.082,0.051,0.6,0.2,0.03,0,0,0.2,0,1.2,0.2
chocolate chip granola bar,100g,Carbohydrates,105,1.695,3.673,16.291,1.1,0,40,1,1,18.5,0,0.008,0.7,17.3,0.4,0.6,43.38,49,0.3,60.2,2.7,0.018,0.062,0,0.076,0.014,0,0.071,0.1,0.1,0.057,0.1,0,0,0,0.6,0.5
chocolate coated donut,100g,Carbohydrates,81,0.901,4.506,9.211,0.3,4.8,70,1,1,4.3,3.4,0.061,0.7,5.4,0.1,1.6,20.16,37.8,0.4,36.2,2.4,0.037,0.099,0.077,0.078,0.077,0.048,0.016,0.3,0.061,0.032,0.2,0,0.4,0.04,3,0.2
chocolate coated marshmallow,100g,Carbohydrates,118,1.058,4.52,18.272,0.6,12.5,55,1,1,12.9,0,0.013,0.7,10.1,0.061,2.6,39.096,27.2,0.5,51,1.3,0.076,0.002,0.043,0.07,0.002,0.098,0.027,0.2,0.1,0.087,0.093,0,0.022,0.03,2.8,0.2
chocolate coffee beans,100g,Carbohydrates,155,2.095,9.376,15.56,1.6,14.4,30,1,1,47.8,5.7,0.1,0.6,18.1,0.2,3.9,77.127,53.2,0.4,116.9,5.1,0.056,0.006,0.049,0.007,0.016,0.063,0.011,0.052,0.1,0.002,0,0,0.1,0.04,0.7,0.6
chocolate covered graham crackers,100g,Carbohydrates,68,0.786,3.145,9.139,0.4,5.8,70,1,1,8.1,0,0.019,0.5,8.1,0.1,1.1,22.313,18.8,0.1,29.3,1.8,0.033,0.067,0.016,0.017,0.019,0,0.097,0.3,0.004,0.095,0,0,0.062,0.071,0.4,0.1
chocolate cream pie,100g,Carbohydrates,301,2.473,18.265,31.679,2,0,50,1,1,35.6,5,0.078,1.1,20.8,0.2,11,93.8,67.3,2.4,125.7,4.9,0.016,0.1,0,0.002,0.093,0,0.1,0.7,0.4,0.023,0,0,0,0,43.1,0.2
chocolate donut,100g,Carbohydrates,250,2.642,11.644,33.659,1.3,19.2,70,1,1,127.8,34.2,0.1,1.4,20.4,0.2,6.8,179.637,97.2,1.5,63.6,3.1,0.051,0.1,0.078,0.091,0.059,0.009,0.051,0.3,0.2,0.04,0.041,0,0.1,0.071,9.8,0.3
chocolate frosting,100g,Carbohydrates,81,0.19,3.423,12.359,0.2,11.8,40,1,1,1.6,0,0.045,0.3,4.3,0.064,1.8,18.9,16.2,0.5,40.2,1.1,0.094,0.025,0,0.026,0.069,0,0.097,0.024,0.005,0.085,0,0,0.3,0,3.5,0.062
chocolate frozen yogurt,100g,Carbohydrates,221,5.043,6.109,36.462,4,33.5,30,0,1,174,22.6,0.028,0.8,43.5,0,1.7,227.929,154.9,0.2,407.2,4,0.059,0.1,0.036,0.08,0.008,0.088,0.3,0.2,0,0.021,0,0.057,0.2,0.071,0.124,0.5
chocolate fudge,100g,Carbohydrates,70,0.401,1.805,13.037,0.3,12.4,40,1,1,8.3,2.4,0.059,0.3,6.1,0.044,0.5,24.119,12.1,0.055,22.8,1.1,0.01,0.032,0.067,0.028,0.062,0.061,0.029,0.054,0.011,0.044,0,0,0.075,0.068,1.7,0.2
chocolate fudge syrup,100g,Carbohydrates,67,0.901,1.703,12.018,0.5,6.6,40,1,1,9.3,0.2,0.076,0.2,9.1,0.013,0.7,24.726,18.4,0.086,54,0.8,0.044,0.084,0.07,0.015,0.079,0.029,0.077,0.02,0.073,0.046,0.023,0,0.5,0.035,4.1,0.2
chocolate hazelnut spread,100g,Carbohydrates,100,1.005,5.528,11.558,1,10,30,1,1,20,0,0.061,0.8,11.8,0.2,0,39.8,28.1,0,75.3,5.3,0.021,0.099,0,0.005,0.02,0.042,0.036,0.072,0.1,0.056,0,0,0.9,0.071,0.2,0.2
chocolate milk dessert,100g,Carbohydrates,229,0,0,57.25,0,51.6,30,0,1,211,0,0.1,0.02,61.7,0,0.5,270.99,168.5,0.084,456.2,0.8,0.053,0.1,0,0.039,0.013,0.076,0.4,0.1,0,0.074,1,0,0,0,0.077,0.6
chocolate mousse,100g,Fat,338,0,37.556,0,0.9,22.2,65,1,1,144,210,0.1,0.8,30,0.023,7.5,200.4,175.5,1.3,214.5,13.7,0.047,0.081,0.2,0.058,0.03,0.099,0.3,0.2,0.8,0.022,0.2,0,0.8,0.044,0.094,1
chocolate pie crust,100g,Fat,881,21.339,78.436,0.225,4.9,47.9,65,0,1,58.2,0,1.4,7.8,72.8,3.3,26.4,240.2,218.4,3.7,340.3,8.6,0.033,0.9,0,0.6,0.1,0,0.5,5.6,0.3,0.049,0,0,3.3,0.078,0,3.8
chocolate powder for milk,100g,Carbohydrates,88,0.999,0.499,19.877,1,18,30,1,1,100.1,0,0.2,0,11.7,0.2,0,128.5,18.9,0,61.6,0.5,0.039,0.012,0,0.041,0.079,0,0.09,0.064,0,0.2,6,0,0.038,0.041,0.2,1.5
chocolate pretzels,100g,Carbohydrates,50,0.791,1.779,7.708,0,0,70,1,1,8.1,0,0.081,0.2,4.5,0.071,0.6,18.726,16,0.2,24.8,0.8,0,0.037,0,0.068,0.094,0,0.078,0.003,0.033,0.052,0.076,0,0,0,0.3,0.1
chocolate pudding,100g,Carbohydrates,213,3.107,6.916,34.581,0,25.8,65,0,1,76.5,1.5,0.1,1.9,27,0.2,4.1,123.424,84,0.2,276,1.9,0,0.2,0.045,0.003,0.061,0.044,0.1,0.2,0.4,0.062,0.5,0,0.5,0.066,0.104,0.5
chocolate pudding fat free,100g,Carbohydrates,105,0,0,26.25,0.3,17.8,50,1,1,44.1,1.1,0.035,1.9,17,0.04,0,72.4,61,0,235,0,0.052,0.1,0,0.021,0.06,0.069,0.046,0.022,0.2,0.084,0,0,0,0.098,0.086,0.3
chocolate rasberry protein mini proteinfx,100g,Fat,102,0,11.333,0,0,0,0,1,1,0,0,0,0,0,0,9.1,2.9,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chocolate semisweet,100g,Fat,806,11.862,84.204,0.179,9.9,91.6,65,0,1,53.8,0,1.2,5.3,193.2,1.3,16.7,233.9,221.8,1.6,613.2,29.8,0.055,0.042,0,0.023,0.094,0,0.2,0.7,0.2,0.036,0,0,0.4,0.066,1.2,2.7
chocolate snack cake,100g,Carbohydrates,200,1.8,8,30.2,1.6,18.9,50,1,1,58,0,0.2,1.8,18,0.2,4.3,102.459,43.5,0.9,88,2.4,0.006,0.2,0.001,0.051,0.079,0.011,0.013,0.5,0.067,0.068,1,0,0.5,0.08,9.3,0.5
chocolate soda,100g,Carbohydrates,207,0,0,51.75,0,52.6,70,0,1,19.7,0,0.022,0.5,4.9,0.2,0,72.8,4.9,0,246,0,0.015,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0.439,0.8
chocolate soymilk,100g,Carbohydrates,153,5.533,3.722,24.343,1,19.1,30,1,1,0.074,0,306.2,0.5,1.2,36.5,0.9,35.156,0,2,123.9,0.6,347.5,0.1,0,0.2,0.098,0.079,0.056,0.6,1.2,0.2,0.2,4.1,0.026,0.3,0.208,0.023
chocolate soymilk nonfat,100g,Carbohydrates,107,5.988,0.046,20.659,0.5,8.9,30,1,1,281.9,0,0.5,0.9,24.3,0,0,310.107,211.4,0.012,255.2,0,0.027,0.1,0.1,0.001,0.03,0.005,0.4,1.2,0,0.037,0,0.062,0.3,0.021,0.215,0.2
chocolate syrup,100g,Carbohydrates,109,0.804,0.402,25.541,1,19.4,50,1,1,5.5,0,0.2,0.8,25.4,0.1,0.1,33.955,50.3,0.011,87.4,0.2,0.08,0.061,0,0.055,0.096,0,0.099,0.1,0.096,0.089,0.009,0,0.086,0.049,12.1,0.3
chocolate wafers,100g,Carbohydrates,485,0,0,100,3.8,33.2,65,0,1,34.7,2.2,0.5,4.5,59.4,0.8,5.4,147.442,147.8,4.7,235.2,4.7,0.048,0.8,0.089,0.2,0.038,0.037,0.3,3.2,0.4,0.071,0,0,0.8,0.039,0,1.2
chocolate yogurt,100g,Carbohydrates,168,5.483,0,36.517,1.8,22.5,30,1,1,132,1.5,0.3,0.6,60,0,0,175,249,0,508.5,0,0.069,0.2,0,0.083,0.019,0.042,0.3,0.3,0,0.05,0,0,0,0,0.107,1.7
chokecherries,100g,Carbohydrates,249,0,0,62.25,30.8,14.4,60,1,1,92.4,0,0.3,1.1,41.6,0.6,0,191.9,103.2,0,583.7,0,0,0.078,0,0.005,0.027,0,0.3,1,0.6,0.3,8.5,0,0.5,0.089,0.093,0.5
cholla buds (north america),100g,Carbohydrates,141,0,0,35.25,2,6.993,21,1,1,19,4.178,10.219,1.479,47,7.348,1.557,18.36,81.581,1.174,236,1.031,56.024,298,12.536,0.136,0.079,0.053,0.096,1.296,0.507,0.191,11.557,3.945,0.505,6.621,0.076,0.727
chopped ham,100g,Protein,50,4.665,2.941,1.217,0,0,40,1,1,2,16.5,0.049,0.2,4.5,0,1.4,10.9,43.4,0.4,89.3,1,0.098,0.3,0,0.2,0.008,0.006,0.035,1.1,0,0.01,0,0.025,0.087,0,18.3,0.5
chow mein noodles,100g,Carbohydrates,257,5.772,9.685,36.686,1.5,0.5,55,1,1,11.2,0,0.028,2.6,29.1,0,3,68.6,90.2,5.9,67.2,1,0.086,0.5,0,0.3,0.048,0,0.2,3.3,0.3,0.029,0,0,1.3,0.08,0.7,0.8
chow mein stir fry master foods,100g,Fat,26,0,2.889,0,0,0,0,1,1,0,0,0,0,0,0,0.6,0.2,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chowchow pickles,100g,Carbohydrates,296,3.703,2.201,65.344,3.7,58.5,65,0,1,56.4,0,0.2,3.4,51.5,0.2,0.4,149.4,53.9,1,490,0.4,0.091,1.3,0,0,0.067,0,0.066,0,0.2,0.022,14.7,0,0.4,0.2,0.169,0.6
christmas lima beans,100g,Carbohydrates,135,3.266,0,30.484,14,2.7,33,1,1,95,0,0.218,2.23,28,7.348,2.756,39.15,103,2.839,557,0.972,4.2,146,0,0.142,0.079,0,0.049,0.372,0.507,0.142,0,3.945,0.93,9.5,64.86,0.88
chrysanthemum cooked,100g,Carbohydrates,20,1.338,0.03,3.595,2.3,2,40,1,1,0.1,0,69,0.1,3.7,18,0,8.597,0.4,0,43,0,569,0.042,0,0,0.086,0.092,0,0.2,0.7,0.061,0.1,23.9,0,2.5,92.5,0.001
chrysanthemum raw,100g,Protein,12,1.316,0.232,1.161,1.5,0,40,1,1,0.2,0,59.7,0.044,1.2,16.3,0,5.285,0.5,0,27.5,0,289.2,0.012,0,0,0.07,0.084,0,0.097,0.3,0.1,0.061,0.7,0,0,46.6,0
chuck blade roast cooked,100g,Fat,842,0,93.556,0,0,0,0,1,1,32.1,256.9,0.3,7.7,46.9,0.089,26.8,167.9,498.9,2.2,575.5,24.7,0.061,0.2,0,0.2,0.005,0.024,0.6,6,0.8,0.6,0,0.003,0.5,0.006,0,20.8
chuck blade roast raw,100g,Fat,900,0,100,0,0,0,0,1,1,45.4,322.1,0.3,9.3,77.1,0.056,38.6,220.5,734.8,3.2,1229.3,35.5,0.049,0.3,0,0.5,0.04,0.028,0.8,9.9,1.3,1.6,0,0,0,0,0,22.6
chuck eye steak grilled,100g,Protein,853,90,10,0,0,0,0,1,1,0.02,268,49.3,0.2,7.5,67.8,29.1,142.79,0.045,4.4,594.4,26.7,1001,0.2,4,0.012,0.2,0.083,0.085,0.6,14.4,2.3,1.1,0,0.093,0.3,0,0.012
chuck eye steak raw,100g,Protein,856,90,10,0,0,0,0,1,1,53.8,261.1,0.2,8.1,73,0.007,29.7,197.159,687.4,4.5,1263.4,26.7,0.097,0.3,0.095,0.3,0.017,0.03,0.6,16.7,2.5,1.4,0,0.047,0.6,0.077,0,27.9
chufa/tiger nuts (various latin american countries),100g,Fat,539,23.997,36.918,27.688,12,3.963,25,1,1,103,39.069,2.67,1.455,193,2.115,7.485,12.44,147.754,4.689,203,6.559,18.204,95,41.78,0.17,0.724,0.346,0.183,1.937,0.485,0.177,4.532,0.46,1.942,12.119,11.397,1.417
chum salmon canned,100g,Protein,520,79.577,20.423,0,0,0,0,1,1,918.8,143.9,0.4,2.6,110.7,0.037,7.1,1020.805,1306.3,5.6,1107,5.5,0.2,0.3,0.014,0.092,0.054,0.012,0.6,25.8,2.1,1.4,0,0,0,0,0,3.7
chum salmon cooked,100g,Protein,474,83.351,15.622,0,0,0,0,1,1,43.1,292.6,0.2,2.2,86.2,0.09,6.1,139.8,1118,3.5,1694,3.3,0.1,0.2,0.1,0.3,0.045,0.017,0.7,26.3,2.7,1.4,0,0,0,0,0.211,1.8
chum salmon raw,100g,Protein,3,0.545,0.091,0,0,0,0,1,1,0.3,2.1,0.091,0.038,0.6,0.055,0.035,1.025,7.9,0.037,12,0.08,0.02,0.029,0.08,0.016,0.097,0.065,0.06,0.2,0.043,0.036,0,0,0.093,0,2.1,0.062
"chungkukjang (fermented soybean, korea)",100g,Protein,208,17.244,14.01,3.233,1,1.639,9,1,1,77,143.253,5.56,2.725,34,4.058,6.872,19.84,273.205,2.819,343,5.983,41.361,467,12.275,0.281,0.081,0.308,0.335,5.802,1.874,0.517,4.834,0.474,0.574,4.115,0.106,3.076
chunky peanut butter,100g,Fat,94,3.53,7.431,3.251,1.3,1.3,30,1,1,7.2,0,0.002,0.3,25.6,0.3,3.7,24.1,51,2.2,119.2,1.2,0.045,0.03,0,0.018,0.094,0,0.013,2.2,0.2,0.072,0,0,1,0.016,0.2,0.4
"chuno (freeze-dried potatoes, peru, bolivia)",100g,Carbohydrates,162,0,0,40.5,3,6.993,27,1,1,86,4.178,10.219,1.479,84,7.348,1.557,14.53,81.581,1.174,232,1.031,56.024,447,12.536,0.136,0.079,0.053,0.096,1.296,0.507,0.191,11.557,3.945,0.505,6.621,0.076,0.727
cider vinegar,100g,Carbohydrates,3,0,0,0.75,0,0.018,0,1,1,1,0,0.094,0.052,0.7,0.006,0,1.117,1.2,0,10.9,0,0.018,0.011,0,0,0,0,0,0,0,0,0,0,0,0,14,0.059
cilantro,100g,Carbohydrates,168,0,0,42,2,0.87,42,1,1,115,0,0.225,1.77,14,7.348,0.275,21.39,48,0.04,480,0.014,0.9,404,337,0.067,0.079,0,0.162,1.114,0.507,0.149,27,3.945,2.5,310,0.092,0.5
